Neighborhood,Toxic Releases
Neville Township,2205
Greenfield,480
Lower Lawerenceville/Strip District,448
Marshal Shadeland,362
Cheswick,341
Centeral Lawerenceville,260
Brookline,190
California-Kirkbride,125
South Side Flats,116
Crafton Heights,100
New Homestead,82
South shore,77
Troy Hill,75
Sheraden,50
Fairywood,50
Upper Lawerenceville,41
Beltzhoover,40
Hazelwood,40
Homewood South,38
Lincoln-Lemington-Belmar,37
Overbrook,34
Upper Hill,30
Elliot,29
Shadyside,25
Homewood South,25
Bon Air,24
West Liberty,21
Regent Square,15
Chateau,1
Point Breeze North,1
Downtown,0
Point Breeze,0
Oakland,0
